Market,Week,Week_Date,Load_Type,Load_Index,Load_ID,Capacity_CBM,Boxes_A,Units_A,CBM_A,Boxes_B,Units_B,CBM_B,Boxes_F,Units_F,CBM_F,Total_Boxes,Total_Units,Used_CBM,Slack_CBM
US,17,2026-08-03,40,1,40_1,65.0,3750,15000.0,37.5,0,0.0,0.0,163,1304.0,1.273438,3913,16304.0,38.773438,26.226562
US,18,2026-08-10,20,1,20_1,28.0,1062,4248.0,10.62,600,2400.0,3.75,163,1304.0,1.273438,1825,7952.0,15.643438,12.356562
US,19,2026-08-17,20,1,20_1,28.0,1062,4248.0,10.62,600,2400.0,3.75,163,1304.0,1.273438,1825,7952.0,15.643438,12.356562
US,20,2026-08-24,20,1,20_1,28.0,1063,4252.0,10.63,938,3752.0,5.8625,189,1512.0,1.476562,2190,9516.0,17.969062,10.030938
US,21,2026-08-31,20,1,20_1,28.0,1062,4248.0,10.62,938,3752.0,5.8625,189,1512.0,1.476562,2189,9512.0,17.959063,10.040937
US,22,2026-09-07,20,1,20_1,28.0,598,2392.0,5.98,938,3752.0,5.8625,189,1512.0,1.476562,1725,7656.0,13.319063,14.680937
US,23,2026-09-14,20,1,20_1,28.0,598,2392.0,5.98,963,3852.0,6.01875,189,1512.0,1.476562,1750,7756.0,13.475313,14.524687
US,24,2026-09-21,20,1,20_1,28.0,598,2392.0,5.98,3153,12612.0,19.70625,181,1448.0,1.414062,3932,16452.0,27.100313,0.899687
US,25,2026-09-28,20,1,20_1,28.0,1505,6020.0,15.05,2072,8288.0,12.95,0,0.0,0.0,3577,14308.0,28.0,0.0
US,25,2026-09-28,LCL,1,LCL,,110,440.0,1.1,1,4.0,0.00625,0,0.0,0.0,111,444.0,1.10625,0.0
US,26,2026-10-05,40,1,40_1,65.0,3750,15000.0,37.5,0,0.0,0.0,0,0.0,0.0,3750,15000.0,37.5,27.5
US,27,2026-10-12,40,1,40_1,65.0,3750,15000.0,37.5,0,0.0,0.0,181,1448.0,1.414062,3931,16448.0,38.914062,26.085938
US,28,2026-10-19,40,1,40_1,65.0,3750,15000.0,37.5,0,0.0,0.0,181,1448.0,1.414062,3931,16448.0,38.914062,26.085938
US,29,2026-10-26,40,1,40_1,65.0,3750,15000.0,37.5,0,0.0,0.0,181,1448.0,1.414062,3931,16448.0,38.914062,26.085938
US,30,2026-11-02,20,1,20_1,28.0,1071,4284.0,10.71,1563,6252.0,9.76875,220,1760.0,1.71875,2854,12296.0,22.1975,5.8025
US,31,2026-11-09,20,1,20_1,28.0,1071,4284.0,10.71,1563,6252.0,9.76875,220,1760.0,1.71875,2854,12296.0,22.1975,5.8025
US,32,2026-11-16,20,1,20_1,28.0,1071,4284.0,10.71,1563,6252.0,9.76875,220,1760.0,1.71875,2854,12296.0,22.1975,5.8025
US,33,2026-11-23,20,1,20_1,28.0,1071,4284.0,10.71,1563,6252.0,9.76875,220,1760.0,1.71875,2854,12296.0,22.1975,5.8025
US,34,2026-11-30,20,1,20_1,28.0,1071,4284.0,10.71,1563,6252.0,9.76875,241,1928.0,1.882812,2875,12464.0,22.361563,5.638437
US,35,2026-12-07,20,1,20_1,28.0,1634,6536.0,16.34,1563,6252.0,9.76875,242,1936.0,1.890625,3439,14724.0,27.999375,0.000625
US,35,2026-12-07,LCL,1,LCL,,448,1792.0,4.48,0,0.0,0.0,0,0.0,0.0,448,1792.0,4.48,0.0
US,36,2026-12-14,20,1,20_1,28.0,2080,8320.0,20.8,1152,4608.0,7.2,0,0.0,0.0,3232,12928.0,28.0,0.0
US,36,2026-12-14,LCL,1,LCL,,2,8.0,0.02,411,1644.0,2.56875,241,1928.0,1.882812,654,3580.0,4.471563,0.0
